Month,Albania,Armenia,Belarus,Belgium,Bulgaria,Colombia,Mexico,World
2009-01-01,0,0,0,13774,0,0,0,13774
2009-02-01,0,0,0,9999,0,0,0,9999
2009-03-01,0,0,0,10030,0,0,0,10030
2009-04-01,0,0,0,5682,0,0,0,5682
2009-05-01,0,0,0,6639,0,0,0,6639
2009-06-01,0,0,0,6299,0,0,0,6774
2009-07-01,30741,5124,54894,3345,1406,0,0,581568
2009-08-01,39947,6767,90675,4342,3257,0,0,874057
2009-09-01,35712,7982,152015,8683,6848,0,0,1575546
2009-10-01,41316,12449,215048,12207,12519,0,0,2417375
2009-11-01,69598,57056,295592,10658,28501,0,0,4789473
2009-12-01,53435,18079,193425,7710,11400,0,0,2414773
2010-01-01,51328,6812,201402,9051,13708,0,2485918,4406367
2010-02-01,55410,10459,248783,7713,8709,0,2512765,4875070
2010-03-01,61764,12255,217557,8461,13338,0,2795569,5271861
2010-04-01,45838,10127,164965,4765,8040,0,1800271,3658414
2010-05-01,55491,9652,195448,7123,7441,0,1663449,3442050
2010-06-01,38949,5408,94405,3989,4740,0,1545075,2505177
2010-07-01,32268,3575,75363,2337,4028,0,991345,1677563
2010-08-01,39238,4318,118097,3373,4611,0,2033394,3087241
2010-09-01,40737,3569,219459,7548,5045,0,2147407,3963453
2010-10-01,44785,7895,215529,6976,9143,0,2511622,4694918
2010-11-01,60687,11886,267275,8299,16931,0,3462215,6167360
2010-12-01,47312,13256,226409,7949,12660,0,3007859,5495813
2011-01-01,68224,14658,365635,10914,36008,0,3236625,7185384
2011-02-01,61232,12858,364865,7995,19475,0,2483300,6110373
2011-03-01,51714,11666,213020,6622,12344,0,2187475,4610156
2011-04-01,44916,10505,181761,5347,6572,0,1737321,3586281
2011-05-01,54899,9685,164729,6107,8083,0,2006051,3721042
2011-06-01,40908,6057,90167,4093,5129,0,1183312,2114779
2011-07-01,32466,3677,72725,2708,3904,0,1017491,1690955
2011-08-01,37685,4394,111323,3624,4838,0,975194,1928314
2011-09-01,38091,5065,204639,5804,4658,0,0,1638012
2011-10-01,59881,16442,260116,8054,13209,0,2087734,4708962
2011-11-01,50871,14549,198138,6991,16072,0,0,2243695
2011-12-01,52722,11907,186348,7196,14394,90355,1099675,3308365
2012-01-01,78616,17315,233883,12287,25745,168025,2858287,5556497
2012-02-01,67907,16008,217165,12576,18847,364976,2519109,5449836
2012-03-01,52101,11439,190302,8782,13596,528029,2120256,5071877
2012-04-01,59637,10467,238145,8032,9355,543045,1992242,5076719
2012-05-01,43914,7600,138707,6169,6142,477829,1648841,3618096
2012-06-01,41102,7709,108855,5368,4571,485749,1581408,3137479
2012-07-01,41350,6999,86757,4305,4568,397202,1773024,3284520
2012-08-01,33516,5211,87656,2831,3114,462274,1120974,2407759
2012-09-01,41997,6602,193769,6687,3078,553790,2095485,4303165
2012-10-01,58371,11165,280855,10056,10216,448112,2752148,6127003
2012-11-01,49022,12339,200623,8864,14659,438541,2423690,5118375
2012-12-01,62668,10990,255480,11586,12657,400271,2749950,5969594
2013-01-01,54430,9962,209447,11248,14607,483723,2741432,5893917
2013-02-01,61989,22131,226614,10541,19322,497973,2622115,6887271
2013-03-01,63348,38970,209005,8908,15774,705320,2120014,5695739
2013-04-01,63312,22441,229736,7311,9368,646507,2194540,5531019
2013-05-01,42646,7585,105501,6278,5523,587563,1673793,3604507
2013-06-01,38413,6777,90851,4889,4917,595423,1575297,3221776
2013-07-01,39402,6217,92785,3375,4752,456328,1841138,3467643
2013-08-01,28968,4836,87060,2355,3205,604650,1426015,2764516
2013-09-01,49065,8500,234906,7780,6390,431245,2528561,5495777
2013-10-01,44882,9673,186509,7572,8794,477882,2319113,4852361
2013-11-01,47219,9254,169771,7067,14472,494710,2278426,4795831
2013-12-01,61147,9887,214502,10297,15845,430044,2657241,5647234
2014-01-01,55891,11084,173838,7537,27947,517870,2873556,5699704
2014-02-01,66190,20537,218058,8758,19824,745303,2652080,6347094
2014-03-01,66614,25065,242673,9561,15605,490866,2645628,7225171
2014-04-01,47470,12396,159237,5998,6586,554694,1639101,4530106
2014-05-01,22065,7921,121841,5154,5762,609435,1686028,4198093
2014-06-01,0,7931,107881,5611,6308,490669,2046062,4428693
2014-07-01,0,5520,65580,3915,3787,490761,1501007,2934614
2014-08-01,0,0,0,3422,3556,664970,1401231,2516080
2014-09-01,10578,1856,52625,7077,5927,463556,2356977,4478963
2014-10-01,46267,9372,200861,6884,8357,478237,2154207,5513436
2014-11-01,38347,9818,195910,6912,16936,496483,2315498,5561081
2014-12-01,49117,9939,249346,10216,16847,420733,3054803,7028319
2015-01-01,66214,8243,228464,8982,23269,422825,2508739,5824964
2015-02-01,33125,16253,309303,10412,21357,532495,2572677,7552208
2015-03-01,53306,31988,291046,9909,19994,421960,2678411,7418103
